handle,sku,vendor,title,status,product_type,has_ebay,reason
bv-david-webb-platinum-18k-yellow-gold-white-enamel-checkerboard-pattern-bombe-ring-rr8350,RR8350,David Webb,David Webb Platinum & 18K Yellow Gold White Enamel Checkerboard Pattern Bombe Ring,ARCHIVED,Rings,false,status:ARCHIVED
bv-van-cleef-arpels-18k-yellow-gold-perlee-diamond-ring-rr8345,RR8345,Van Cleef & Arpels,Van Cleef & Arpels 18K Yellow Gold Perlee Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-hammered-finish-carved-lapis-and-diamond-frame-ring-rr8719,RR8719,David Webb,"David Webb Platinum & 18K Yellow Gold Hammered Finish, Carved Lapis And Diamond Frame Ring",ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-oversized-lapis-and-diamond-ring-rr8341,RR8341,David Webb,David Webb Platinum & 18K Yellow Gold Oversized Lapis And Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-1970s-ruby-diamond-and-emerald-cocktail-ring-rr8824,RR8824,David Webb,"David Webb 18K Yellow Gold 1970's Ruby, Diamond And Emerald Cocktail Ring",ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-cabochon-emerald-diamond-ring-rr8696,RR8696,David Webb,David Webb 18K Yellow Gold Cabochon Emerald Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-marina-b-18k-yellow-gold-diamond-and-sapphire-drop-earrings-rr8717,RR8717,Marina B,Marina B . 18K Yellow Gold Diamond And Sapphire Drop Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-light-bolt-link-curb-bracelet-rr8695,RR8695,David Webb,David Webb 18K Yellow Gold Lightning Bolt Link Curb Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-jade-diamond-hammered-ring-rr8677,RR8677,David Webb,David Webb Platinum & 18K Yellow Gold Jade Diamond Hammered Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-scalloped-diamond-bracelet-rr8668,RR8668,David Webb,David Webb Platinum & 18K Yellow Gold Scalloped Diamond Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-white-jasper-earrings-rr8665,RR8665,David Webb,David Webb Platinum & 18K Yellow Gold White Jasper Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-coral-black-enamel-and-diamond-earrings-rr8663,RR8663,David Webb,"David Webb Platinum & 18K Coral, Black Enamel And Diamond Earrings",ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-white-enamel-dome-ring-rr8659,RR8659,David Webb,David Webb Platinum & 18K Yellow Gold White Enamel Dome Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-summit-turquoise-and-diamond-ring-rr8654,RR8654,David Webb,David Webb Platinum & 18K Yellow Gold Summit Turquoise And Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-geodesic-dome-diamond-ring-rr8653,RR8653,David Webb,David Webb Platinum & 18K Yellow Gold Geodesic Dome Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-rock-crystal-black-enamel-diamond-ring-rr8652,RR8652,David Webb,David Webb Platinum & 18K Yellow Gold Rock Crystal Black Enamel Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-black-enamel-swirl-design-pave-diamond-ring-rr8627,RR8627,David Webb,David Webb Platinum & 18K Yellow Gold Black Enamel Swirl Design Pave Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-black-enamel-double-head-lion-bracelet-rr8322,RR8322,David Webb,David Webb Platinum & 18K Yellow Gold Black Enamel Double Head Lion Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-double-head-lion-in-black-enamel-bracelet-rr8004,RR8004,David Webb,David Webb Platinum & 18K Yellow Gold Double Head Lion In Black Enamel Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-21-carats-scroll-diamond-textured-bracelet-rr8616,RR8616,David Webb,David Webb Platinum & 18K Yellow Gold 21 Carats Scroll Diamond Textured Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-old-cut-and-old-european-cluster-pearl-clip-on-earrings-rr8587,RR8587,David Webb,David Webb Platinum Old Cut And Old European Cluster Pearl Clip On Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-sapphire-and-diamond-clip-on-earrings-rr8576,RR8576,David Webb,David Webb Platinum & 18K Yellow Gold Sapphire And Diamond Clip On Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
