product_id,csv_handle,sku,vendor,title,keep_handle,action
gid://shopify/Product/7509941911623,cartier-18k-white-gold-diamant-leger-de-diamond-cluster-ring-rr8911,RR8911,Cartier,Pre-Owned Cartier 18K White Gold Diamant Leger De Diamond Cluster Ring,bv-cartier-18k-white-gold-diamant-leger-de-diamond-cluster-ring-rr8911,remove-ebay-tag
gid://shopify/Product/7509942075463,cartier-18k-white-gold-cartier-inde-mysterieuse-diamond-ring-rr8753,RR8753,Cartier,Pre-Owned Cartier 18K White Gold Cartier Inde Mystérieuse Diamond Ring,bv-cartier-18k-white-gold-cartier-inde-mysterieuse-diamond-ring-rr8753,remove-ebay-tag
gid://shopify/Product/7509952397383,tiffany-co-18k-yellow-gold-cummings-positive-negative-earrings-rr8417,RR8417,Tiffany & Co.,Pre-Owned Tiffany & Co. 18K Yellow Gold Cummings Positive & Negative Earrings,bv-tiffany-co-18k-yellow-gold-cummings-positive-negative-earrings-rr8417,remove-ebay-tag
gid://shopify/Product/7509936144455,bvlgari-18k-white-gold-parentesi-gemstone-and-diamond-chain-bracelet-rr8020,RR8020,Bvlgari,Pre-Owned Bvlgari 18K White Gold Parentesi Gemstone And Diamond Chain Bracelet,bv-bvlgari-18k-white-gold-parentesi-gemstone-and-diamond-chain-bracelet-rr8020,remove-ebay-tag
gid://shopify/Product/7509936209991,bvlgari-18k-white-gold-mother-of-pearl-illusion-diamond-cocktail-ring-rr7989,RR7989,Bvlgari,Pre-Owned Bvlgari 18K White Gold Mother Of Pearl Illusion Diamond Cocktail Ring,bv-bvlgari-18k-white-gold-mother-of-pearl-illusion-diamond-cocktail-ring-rr7989,remove-ebay-tag
gid://shopify/Product/7509961539655,chopard-18k-white-gold-good-fortune-diamond-round-pendant-rr7494,RR7494,Chopard,Pre-Owned Chopard 18K White Gold Good Fortune Diamond Round Pendant,bv-chopard-18k-white-gold-good-fortune-diamond-round-pendant-rr7494,remove-ebay-tag
gid://shopify/Product/7509961572423,chopard-18k-yellow-gold-pave-heart-shape-floating-diamond-ring-rr7462,RR7462,Chopard,Pre-Owned Chopard 18K Yellow Gold Pave Heart Shape Floating Diamond Ring,bv-chopard-18k-yellow-gold-pave-heart-shape-floating-diamond-ring-rr7462,remove-ebay-tag
gid://shopify/Product/7509944827975,cartier-art-deco-18k-yellow-gold-lipstick-gold-black-enamel-jewelry-rr4065,RR4065,Cartier,Pre-Owned Cartier Art Deco 18K Yellow Gold Lipstick - Gold & Black Enamel Jewelry,bv-cartier-art-deco-18k-yellow-gold-lipstick-gold-black-enamel-jewelry-rr4065,remove-ebay-tag
gid://shopify/Product/7509953019975,tiffany-co-schlumberger-platinum-18k-yellow-gold-blue-enamel-cuff-links-rr5796,RR5796,Tiffany & Co.,Pre-Owned Tiffany & Co. Schlumberger Platinum & 18K Yellow Gold Blue Enamel Cuff Links,bv-tiffany-co-schlumberger-platinum-18k-yellow-gold-blue-enamel-cuff-links-rr5796,remove-ebay-tag
gid://shopify/Product/7509953118279,tiffany-co-schlumberger-18k-yellow-gold-blue-enamel-heart-motif-earrings-rr5591,RR5591,Tiffany & Co.,Pre-Owned Tiffany & Co. Schlumberger 18K Yellow Gold Blue Enamel Heart Motif Earrings,bv-tiffany-co-schlumberger-18k-yellow-gold-blue-enamel-heart-motif-earrings-rr5591,remove-ebay-tag
