id,handle,title,vendor,product_type,status,sku,qty,price,published,image_count,has_ebay_tag,has_backvault,has_lab_grown,ebay_condition,condition,tags
gid://shopify/Product/7633247600711,bv-cartier-18k-white-gold-santos-100-unisex-white-gold-diamond-watch-rr7980,Pre-Owned Cartier 18K White Gold Santos 100 Unisex White Gold Diamond Unisex Watch,Cartier,Watch,ACTIVE,RR7980,1,31000.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|ebay|Pre-Owned Watches|Watch|Watches
gid://shopify/Product/7633247633479,bv-david-webb-platinum-18k-yellow-gold-diamond-and-pearl-circular-openwork-brooch-rr7979,David Webb Platinum & 18K Yellow Gold Diamond And Pearl Circular Openwork Brooch,David Webb,Brooches,ACTIVE,RR7979,1,33900.00,true,9,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Brooches|David Webb|designer-jewelry|ebay
gid://shopify/Product/7633247731783,bv-david-webb-18k-white-gold-ruby-emerald-and-sapphire-door-knockers-earrings-rr7953,"David Webb 18K White Gold Ruby, Emerald And Sapphire Door Knockers Earrings",David Webb,Earrings,ACTIVE,RR7953,1,36200.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633247764551,bv-david-webb-platinum-18k-yellow-gold-multi-color-gemstone-and-diamond-earrings-rr7187,David Webb Platinum & 18K Yellow Gold Multi Color Gemstone And Diamond Earrings,David Webb,Earrings,ACTIVE,RR7187,1,11500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633247797319,bv-david-webb-platinum-18k-yellow-gold-white-enamel-high-dome-ring-rr7987,David Webb Platinum & 18K Yellow Gold White Enamel High Dome Ring,David Webb,Rings,ACTIVE,RR7987,1,18300.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Rings
gid://shopify/Product/7633247830087,bv-van-cleef-arpels-18k-white-gold-romance-in-paris-charm-bracelet-rr7969,Van Cleef & Arpels 18K White Gold Romance In Paris Charm Bracelet,Van Cleef & Arpels,Bracelets,ACTIVE,RR7969,1,10200.00,true,10,true,true,false,3000,Pre-owned; authenticated by Laura Milman New York,antique-estate|backvault-feed|Bracelets|designer-jewelry|ebay|Van Cleef & Arpels
gid://shopify/Product/7633247895623,bv-david-webb-18k-yellow-gold-rock-crystal-monkey-pendant-rr7963,David Webb 18K Yellow Gold Rock Crystal Monkey Pendant,David Webb,Pendants,ACTIVE,RR7963,1,50500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Pendants
gid://shopify/Product/7633247928391,bv-chopard-18k-rose-gold-happy-diamonds-necklace-rr7954,Chopard 18K Rose Gold Happy Diamonds Necklace,Chopard,Necklaces,ACTIVE,RR7954,1,11800.00,true,7,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Chopard|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633247961159,bv-david-webb-18k-yellow-gold-white-enamel-gold-and-diamond-linked-collar-necklace-rr7951,David Webb 18K Yellow Gold White Enamel Gold And Diamond Linked Collar Necklace,David Webb,Necklaces,ACTIVE,RR7951,1,76500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633247993927,bv-david-webb-platinum-18k-yellow-gold-white-enamel-diamond-metro-collection-earrings-rr7949,David Webb Platinum & 18K Yellow Gold White Enamel Diamond Metro Collection Earrings,David Webb,Earrings,ACTIVE,RR7949,1,23200.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248092231,bv-david-webb-platinum-18k-yellow-gold-hammered-gold-and-black-enamel-clip-earrings-rr7915,David Webb Platinum & 18K Yellow Gold Hammered Gold And Black Enamel Clip Earrings,David Webb,Earrings,ACTIVE,RR7915,1,14100.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248124999,bv-david-webb-18k-yellow-gold-1979-taurus-bull-hinged-wide-cuff-bracelet-rr7903,David Webb 18K Yellow Gold 1979 Taurus Bull Hinged Wide Cuff Bracelet,David Webb,Bracelets,ACTIVE,RR7903,1,37500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|David Webb|designer-jewelry|ebay|Vintage
gid://shopify/Product/7633248157767,bv-david-webb-18k-yellow-gold-tiger-eye-star-pendant-rr7867,David Webb 18K Yellow Gold Tiger Eye Star Pendant,David Webb,Pendants,ACTIVE,RR7867,1,10200.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Pendants
gid://shopify/Product/7633248190535,bv-david-webb-18k-yellow-gold-lighting-bolt-modern-link-cubist-design-bracelet-rr7966,David Webb 18K Yellow Gold Lightning Bolt Modern Link Cubist Design Bracelet,David Webb,Bracelets,ACTIVE,RR7966,1,11500.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Bracelets|David Webb|designer-jewelry|ebay|Modern
gid://shopify/Product/7633248223303,bv-david-webb-18k-yellow-gold-white-enamel-and-8-00cttw-diamond-knot-brooch-rr7945,David Webb 18K Yellow Gold White Enamel And 8.00cttw Diamond Knot Brooch,David Webb,Brooches,ACTIVE,RR7945,1,36200.00,true,6,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Brooches|David Webb|designer-jewelry|ebay
gid://shopify/Product/7633248321607,bv-david-webb-platinum-18k-yellow-gold-onyx-and-coral-drop-door-knocker-earrings-rr7927,David Webb Platinum & 18K Yellow Gold Onyx And Coral Drop Door Knocker Earrings,David Webb,Earrings,ACTIVE,RR7927,1,24500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248354375,bv-david-webb-platinum-18k-yellow-gold-cushion-cut-amethyst-and-diamond-clip-on-earrings-rr7917,David Webb Platinum & 18K Yellow Gold Cushion Cut Amethyst And Diamond Clip On Earrings,David Webb,Earrings,ACTIVE,RR7917,1,33600.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248387143,bv-david-webb-platinum-18k-yellow-gold-hammered-link-twist-chain-necklace-rr7845,David Webb Platinum & 18K Yellow Gold Hammered Link Twist Chain Necklace,David Webb,Necklaces,ACTIVE,RR7845,1,38800.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633248452679,bv-david-webb-platinum-18k-white-gold-oval-and-round-cut-diamond-cluster-earrings-rr7837,David Webb Platinum & 18K White Gold Oval And Round Cut Diamond Cluster Earrings,David Webb,Earrings,ACTIVE,RR7837,1,46000.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248518215,bv-david-webb-platinum-18k-yellow-gold-zodiac-aries-large-pendant-rr7836,David Webb Platinum & 18K Yellow Gold Zodiac Aries Large Pendant,David Webb,Pendants,ACTIVE,RR7836,1,19000.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Pendants
gid://shopify/Product/7633248550983,bv-david-webb-platinum-18k-yellow-gold-large-ancient-world-open-link-necklace-rr7834,David Webb Platinum & 18K Yellow Gold Large Ancient World Open Link Necklace,David Webb,Necklaces,ACTIVE,RR7834,1,76500.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633248583751,bv-david-webb-platinum-18k-yellow-gold-zodiac-aquarius-pendant-rr7870,David Webb Platinum & 18K Yellow Gold Zodiac Aquarius Pendant,David Webb,Pendants,ACTIVE,RR7870,1,27800.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Pendants
