handle,found,id,title,vendor,product_type,status,sku,qty,has_ebay,ebay_condition,tags
tiffany-co-legacy-platinum-1-50cttw-round-diamond-ring-rr9202,true,gid://shopify/Product/7509951840327,Pre-Owned Tiffany & Co. Legacy Platinum 1.50cttw Round Diamond Ring,Tiffany & Co.,Ring,ACTIVE,RR9202,1,true,3000,Authentic|ebay|Estate Jewelry|Luxury Jewelry|Platinum|Pre-Owned|Ring|Round|Tiffany & Co.|Vintage
cartier-14k-yellow-gold-1881-coin-e-pluribus-money-clip-rr9527,true,gid://shopify/Product/7509940764743,Pre-Owned Cartier 14K Yellow Gold 1881 Coin E Pluribus Money Clip,Cartier,Clip,ACTIVE,RR9527,1,true,3000,14K Yellow Gold|Authentic|Cartier|Clip|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Vintage|Yellow Gold
cartier-18k-yellow-gold-barbell-cuff-links-rr9408,true,gid://shopify/Product/7509941092423,Pre-Owned Cartier 18K Yellow Gold Barbell Cuff Links,Cartier,Cufflinks,ACTIVE,RR9408,1,true,3000,18K Yellow Gold|Authentic|Cartier|Cufflinks|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Vintage|Yellow Gold
tiffany-co-18k-white-gold-diamond-petals-key-pendant-rr7975,true,gid://shopify/Product/7509952036935,Pre-Owned Tiffany & Co. 18K White Gold Diamond Petals Key Pendant,Tiffany & Co.,Pendant,ACTIVE,RR7975,1,true,3000,18K White Gold|Authentic|ebay|Estate Jewelry|Luxury Jewelry|Pendant|Pre-Owned|Tiffany & Co.|Vintage|White Gold
hermes-5-leather-bracelets-rr9182,true,gid://shopify/Product/7509960917063,Pre-Owned Hermes 5 Leather Bracelets,Hermès,Bracelet,ACTIVE,RR9182,1,true,3000,Authentic|Bracelet|ebay|Estate Jewelry|Hermès|Luxury Jewelry|Pre-Owned|Vintage
cartier-18k-white-gold-panthere-maillon-ring-rr8985,true,gid://shopify/Product/7509941813319,Pre-Owned Cartier 18K White Gold Panthere Maillon Ring,Cartier,Ring,ACTIVE,RR8985,1,true,3000,18K White Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Vintage|White Gold
cartier-18k-white-gold-diamant-leger-de-diamond-cluster-ring-rr8911,true,gid://shopify/Product/7509941911623,Pre-Owned Cartier 18K White Gold Diamant Leger De Diamond Cluster Ring,Cartier,Ring,ACTIVE,RR8911,1,true,3000,18K White Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Vintage|White Gold
cartier-18k-white-gold-cartier-inde-mysterieuse-diamond-ring-rr8753,true,gid://shopify/Product/7509942075463,Pre-Owned Cartier 18K White Gold Cartier Inde Mystérieuse Diamond Ring,Cartier,Ring,ACTIVE,RR8753,1,true,3000,18K White Gold|Authentic|Cartier|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Round|Vintage|White Gold
tiffany-co-18k-yellow-gold-cummings-positive-negative-earrings-rr8417,true,gid://shopify/Product/7509952397383,Pre-Owned Tiffany & Co. 18K Yellow Gold Cummings Positive & Negative Earrings,Tiffany & Co.,Earrings,ACTIVE,RR8417,1,true,3000,18K Yellow Gold|Authentic|Earrings|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Tiffany & Co.|Vintage|Yellow Gold
bvlgari-18k-white-gold-parentesi-gemstone-and-diamond-chain-bracelet-rr8020,true,gid://shopify/Product/7509936144455,Pre-Owned Bvlgari 18K White Gold Parentesi Gemstone And Diamond Chain Bracelet,Bvlgari,Bracelet,ACTIVE,RR8020,1,true,3000,18K White Gold|Authentic|Bracelet|Bvlgari|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Vintage|White Gold
bvlgari-18k-white-gold-mother-of-pearl-illusion-diamond-cocktail-ring-rr7989,true,gid://shopify/Product/7509936209991,Pre-Owned Bvlgari 18K White Gold Mother Of Pearl Illusion Diamond Cocktail Ring,Bvlgari,Ring,ACTIVE,RR7989,1,true,3000,18K White Gold|Authentic|Bvlgari|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Ring|Vintage|White Gold
chopard-18k-white-gold-good-fortune-diamond-round-pendant-rr7494,true,gid://shopify/Product/7509961539655,Pre-Owned Chopard 18K White Gold Good Fortune Diamond Round Pendant,Chopard,Pendant,ACTIVE,RR7494,1,true,3000,18K White Gold|Authentic|Chopard|ebay|Estate Jewelry|Luxury Jewelry|Pendant|Pre-Owned|Vintage|White Gold
chopard-18k-yellow-gold-pave-heart-shape-floating-diamond-ring-rr7462,true,gid://shopify/Product/7509961572423,Pre-Owned Chopard 18K Yellow Gold Pave Heart Shape Floating Diamond Ring,Chopard,Ring,ACTIVE,RR7462,1,true,3000,18K Yellow Gold|Authentic|Chopard|ebay|Estate Jewelry|Heart|Luxury Jewelry|Pre-Owned|Ring|Vintage|Yellow Gold
cartier-art-deco-18k-yellow-gold-lipstick-gold-black-enamel-jewelry-rr4065,true,gid://shopify/Product/7509944827975,Pre-Owned Cartier Art Deco 18K Yellow Gold Lipstick - Gold & Black Enamel Jewelry,Cartier,Jewelry,ACTIVE,RR4065,1,true,3000,18K Yellow Gold|Authentic|Cartier|ebay|Estate Jewelry|Jewelry|Luxury Jewelry|Pre-Owned|Vintage|Yellow Gold
tiffany-co-schlumberger-platinum-18k-yellow-gold-blue-enamel-cuff-links-rr5796,true,gid://shopify/Product/7509953019975,Pre-Owned Tiffany & Co. Schlumberger Platinum & 18K Yellow Gold Blue Enamel Cuff Links,Tiffany & Co.,Cufflinks,ACTIVE,RR5796,1,true,3000,18K Yellow Gold|Authentic|Cufflinks|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Tiffany & Co.|Vintage|Yellow Gold
tiffany-co-schlumberger-18k-yellow-gold-blue-enamel-heart-motif-earrings-rr5591,true,gid://shopify/Product/7509953118279,Pre-Owned Tiffany & Co. Schlumberger 18K Yellow Gold Blue Enamel Heart Motif Earrings,Tiffany & Co.,Earrings,ACTIVE,RR5591,1,true,3000,18K Yellow Gold|Authentic|Earrings|ebay|Estate Jewelry|Luxury Jewelry|Pre-Owned|Tiffany & Co.|Vintage|Yellow Gold
