sku,qty,status,vendor,title,handle,has_ebay,tags
3120,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Perpetual 6718,w-3120,True,"6718,ebay,lmny-feed,naked,Oyster Perpetual,Pre-Owned Watches,Rolex,Watches"
3121,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Precision 6427,w-3121,False,"6427,lmny-feed,naked,Oyster Precision,Pre-Owned Watches,Rolex,Watches"
3124,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oysterdate 6694,w-3124,True,"6694,ebay,lmny-feed,naked,Oysterdate,Pre-Owned Watches,Rolex,Watches"
3125,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oysterdate 6694,w-3125,False,"6694,lmny-feed,naked,Oysterdate,Pre-Owned Watches,Rolex,Watches"
3126,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oysterdate 6694,w-3126,True,"6694,ebay,lmny-feed,naked,Oysterdate,Pre-Owned Watches,Rolex,Watches"
3127,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oysterdate 6694,w-3127,True,"6694,ebay,lmny-feed,naked,Oysterdate,Pre-Owned Watches,Rolex,Watches"
3128,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oysterdate 6466,w-3128,False,"6466,lmny-feed,naked,Oysterdate,Pre-Owned Watches,Rolex,Watches"
3129,0,ARCHIVED,ROLEX,Pre-Owned Rolex Precision 6694,w-3129,True,"6694,ebay,lmny-feed,naked,Pre-Owned Watches,Precision,Rolex,Watches"
3130,0,ARCHIVED,ROLEX,Pre-Owned Rolex Precision 6694,w-3130,True,"6694,ebay,lmny-feed,naked,Pre-Owned Watches,Precision,Rolex,Watches"
3132,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oysterdate 6466,w-3132,True,"6466,ebay,lmny-feed,naked,Oysterdate,Pre-Owned Watches,Rolex,Watches"
3134,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0062,w-3134,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0062"
3136,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0018,w-3136,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0018"
3146,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0030,w-3146,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0030"
3147,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0018,w-3147,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0018"
