#INFO,Version=1.0.0,,Template=eBay-taxonomy-mapping-template_US,
#INFO,Set A,,Set B,
Custom Label (SKU),Item Photo URL,Title,Category,Aspects
w-3365,https://cdn.shopify.com/s/files/1/1727/2565/files/3365_626385e2-1b39-4a98-9515-1a3b3dc82f88.jpg,Rolex Datejust 116203 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=116203|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3398,https://cdn.shopify.com/s/files/1/1727/2565/files/3398.jpg,Rolex Sky-Dweller 336933 Mens Pre-Owned Watch Full Set Box & Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Sky-Dweller|Reference Number=336933|Condition=Pre-owned|With Original Box/Packaging=Yes|With Papers=Yes|Vintage=No
w-3514,https://cdn.shopify.com/s/files/1/1727/2565/files/3514_ad3df931-3d9f-48bd-8778-8e12b3dea542.jpg,Rolex Datejust 126234 Unisex Good Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=126234|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3519,https://cdn.shopify.com/s/files/1/1727/2565/files/3519_31a601b5-8d99-4a5d-995a-8f2d264b7d3a.jpg,Rolex Day-Date 218235 Mens Pre-Owned Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=218235|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3530,https://cdn.shopify.com/s/files/1/1727/2565/files/3530.jpg,Rolex Day-Date II 218235 Mens Pre-Owned Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date II|Reference Number=218235|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3613,https://cdn.shopify.com/s/files/1/1727/2565/files/3613_97c959f1-0a57-4571-9d0a-63b47704dcb9.jpg,Rolex Lady Date Just 279384 Womens Excellent Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Lady Date Just|Reference Number=279384|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3682,https://cdn.shopify.com/s/files/1/1727/2565/files/3682_6d15c414-609e-45b1-9e65-b66c4b0e5209.jpg,Rolex Day-Date 228239 Mens Pre-Owned Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=228239|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3838,https://cdn.shopify.com/s/files/1/1727/2565/files/3838_8736ec77-8e15-4e84-93d3-e76c56beabf8.jpg,Rolex Day-Date 228235 Mens Excellent Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=228235|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3850,https://cdn.shopify.com/s/files/1/1727/2565/files/3850_056bf8fd-550c-40d6-8b04-2f4df69759b6.jpg,Rolex Submariner No Date 114060 Mens Mint Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Submariner No Date|Reference Number=114060|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3869,https://cdn.shopify.com/s/files/1/1727/2565/files/3869_16ed25ed-b8f3-44b0-94c8-ce9891403e19.jpg,Rolex Day-Date 228238 Mens Excellent Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=228238|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
