Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Brand,*C:Department,*C:Type,C:Reference Number,C:Customized,C:Style,C:Model,C:Features,C:Movement,C:Dial Color,C:Band Color,C:Bezel Color,C:Case Color,C:Band Material,C:Display,C:Case Material,C:Water Resistance,C:Year Manufactured,C:With Original Box/Packaging,C:With Papers,C:Indices,C:Case Size,C:Watch Shape,C:Number of Jewels,C:Band/Strap,C:Country of Origin,C:Dial Pattern,C:Caseback,C:Bezel Type,C:Vintage,C:Band Width,C:Lug Width,C:Theme,C:Case Finish,C:With Manual/Booklet,C:Seller Warranty,C:With Service Records,C:Handmade,C:Case Thickness,C:Manufacturer Warranty,C:Escapement Type,C:Max Wrist Size,C:Closure,C:Handedness,C:California Prop 65 Warning,C:Unit Quantity,C:Unit Type,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,ProductCompliancePolicyID,Regional ProductCompliancePolicies,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,w-3286,31387,,AP Royal Oak Selfwinding 15510ST Mens Mint Watch Full Set Box & Papers,,,,,3000,Audemars Piguet,Men,Wristwatch,15510ST,,,Royal Oak Selfwinding,,,,,,,,,,,,Yes,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3286_b0016df9-2b0e-4e05-bd4a-be466187b562.jpg?v=1786082297,,,Pre-Owned Audemars Piguet Royal Oak Selfwinding 15510ST. Full set with box and papers. Mint condition.,FixedPrice,GTC,51765.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3314,31387,,Rolex Daytona 116505 Mens Mint Watch w/ Papers,,,,,3000,Rolex,Men,Wristwatch,116505,,,Daytona,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3314_c6618245-406d-4f05-b24e-9ff223025f1a.jpg?v=1786082299,,,"Pre-Owned Rolex Daytona 116505 from July 2010. Offered with papers, but without the original box. Mint condition.",FixedPrice,GTC,46809.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3354,31387,,Rolex Lady Date Just 179171 Womens Pre-Owned Watch w/ Papers,,,,,3000,Rolex,Women,Wristwatch,179171,,,Lady Date Just,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3354_45c0af63-7263-4271-97f2-f67ad753e034.jpg?v=1786082309,,,"Pre-Owned Rolex Lady Date Just 179171 from September 2014. Offered with papers, but without the original box.",FixedPrice,GTC,9923.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3355,31387,,Rolex Datejust 178271 Unisex Good Watch No Box/Papers,,,,,3000,Rolex,Unisex Adults,Wristwatch,178271,,,Datejust,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3355_009db5f0-81e5-490b-95ce-26b338e8925d.jpg?v=1786082310,,,"Pre-Owned Rolex Datejust 178271. Offered on its own, without box or papers. Very good condition.",FixedPrice,GTC,15074.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3365,31387,,Rolex Datejust 116203 Unisex Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Unisex Adults,Wristwatch,116203,,,Datejust,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3365_626385e2-1b39-4a98-9515-1a3b3dc82f88.jpg?v=1786082312,,,"Pre-Owned Rolex Datejust 116203. Offered on its own, without box or papers.",FixedPrice,GTC,10622.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3398,31387,,Rolex Sky-Dweller 336933 Mens Pre-Owned Watch Full Set Box & Papers,,,,,3000,Rolex,Men,Wristwatch,336933,,,Sky-Dweller,,,,,,,,,,,,Yes,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3398.jpg?v=1786082317,,,"Rolex Sky-Dweller 336933, July 2025. Full set with box and papers.",FixedPrice,GTC,24444.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3514,31387,,Rolex Datejust 126234 Unisex Good Watch w/ Papers,,,,,3000,Rolex,Unisex Adults,Wristwatch,126234,,,Datejust,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3514_ad3df931-3d9f-48bd-8778-8e12b3dea542.jpg?v=1786082343,,,"Pre-Owned Rolex Datejust 126234 from June 2020. Offered with papers, but without the original box. Good condition.",FixedPrice,GTC,12802.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3519,31387,,Rolex Day-Date 218235 Mens Pre-Owned Watch w/ Papers,,,,,3000,Rolex,Men,Wristwatch,218235,,,Day-Date,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3519_31a601b5-8d99-4a5d-995a-8f2d264b7d3a.jpg?v=1786082344,,,"Rolex Day-Date 218235, May 2014. Offered with papers, but without the original box.",FixedPrice,GTC,43937.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3530,31387,,Rolex Day-Date II 218235 Mens Pre-Owned Watch w/ Papers,,,,,3000,Rolex,Men,Wristwatch,218235,,,Day-Date II,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3530.jpg?v=1786082351,,,"Pre-Owned Rolex Day-Date II 218235 from August 2009. Offered with papers, but without the original box.",FixedPrice,GTC,43937.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3613,31387,,Rolex Lady Date Just 279384 Womens Excellent Watch No Box/Papers,,,,,3000,Rolex,Women,Wristwatch,279384,,,Lady Date Just,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3613_97c959f1-0a57-4571-9d0a-63b47704dcb9.jpg?v=1786082367,,,"Pre-Owned Rolex Lady Date Just 279384. Offered on its own, without box or papers. Excellent condition.",FixedPrice,GTC,19352.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
